date,min,max,median,q1,q3,stdev,count
2020-07-03T00:00:00.000Z,0.3,5.5,0.7,0.6,0.98,0.411,477
2020-07-04T00:00:00.000Z,0.28,4.3,0.88,0.62,1.1,0.365,496
2020-07-05T00:00:00.000Z,0.4,13.35,1.08,0.8,1.48,1.089,472
2020-07-06T00:00:00.000Z,0.35,2.54,0.9,0.79,1.1,0.284,284
2020-07-07T00:00:00.000Z,0.17,1.42,0.5,0.4,0.6,0.168,419
2020-07-08T00:00:00.000Z,0.2,1.58,0.62,0.5,0.73,0.192,441
2020-07-09T00:00:00.000Z,0.2,3.78,0.5,0.4,0.62,0.267,470
2020-07-10T00:00:00.000Z,0.3,54.9,0.85,0.6,1.14,2.665,418
2020-07-11T00:00:00.000Z,0.4,1.9,0.98,0.8,1.2,0.273,332
2020-07-12T00:00:00.000Z,0.3,2.25,0.7,0.6,0.85,0.243,402
2020-07-13T00:00:00.000Z,0.25,2.95,0.7,0.6,0.93,0.343,391
2020-07-14T00:00:00.000Z,0.9,2.85,1.48,1.3,1.73,0.329,438
2020-07-15T00:00:00.000Z,0.9,3.65,1.52,1.3,2.29,0.609,360
2020-07-16T00:00:00.000Z,0.8,5.95,1.4,1.2,3.69,1.56,324
2020-07-17T00:00:00.000Z,0.88,2.42,1.4,1.23,1.58,0.236,494
2020-07-18T00:00:00.000Z,0.9,4.2,1.55,1.3,1.9,0.583,455
2020-07-19T00:00:00.000Z,0.9,8.43,3.49,1.6,4.09,1.306,156
2020-07-20T00:00:00.000Z,0.7,4.72,2.02,1.42,3.06,1.033,177
2020-07-21T00:00:00.000Z,0.2,1.9,0.6,0.45,0.9,0.271,263
2020-07-22T00:00:00.000Z,0.2,1.55,0.4,0.3,0.43,0.125,276
2020-07-23T00:00:00.000Z,0.1,0.77,0.3,0.28,0.4,0.092,304
2020-07-24T00:00:00.000Z,0.2,1.12,0.4,0.3,0.5,0.143,390
2020-07-25T00:00:00.000Z,0.2,1.58,0.4,0.3,1.23,0.467,82
2020-07-26T00:00:00.000Z,0.4,2.12,1,0.8,1.35,0.347,449
2020-07-27T00:00:00.000Z,1,4.53,1.9,1.5,2.45,0.562,275
2020-07-28T00:00:00.000Z,0.93,5.87,2.08,1.7,3.87,1.289,426
2020-07-29T00:00:00.000Z,0.5,3.47,1.2,0.9,1.62,0.452,337
2020-07-30T00:00:00.000Z,0.4,3.12,1.1,0.8,1.5,0.439,365
2020-07-31T00:00:00.000Z,0.7,4.34,1.95,1.2,2.78,0.931,334
2020-08-01T00:00:00.000Z,1.2,5.43,2.08,1.7,3.95,1.218,355
2020-08-02T00:00:00.000Z,0.6,6.4,2.17,1.58,3.7,1.235,312
2020-08-03T00:00:00.000Z,0.43,3.47,1.36,0.8,1.82,0.572,352
2020-08-04T00:00:00.000Z,0.15,2.15,0.5,0.3,0.77,0.277,405
2020-08-05T00:00:00.000Z,0.5,10.19,1.14,0.9,1.35,1.29,428
2020-08-06T00:00:00.000Z,0.9,3.53,1.5,1.2,1.85,0.554,339
2020-08-07T00:00:00.000Z,0.55,4.22,2,1.58,2.7,0.784,439
2020-08-08T00:00:00.000Z,0.98,4.75,1.87,1.48,2.78,0.802,369
2020-08-09T00:00:00.000Z,0.6,4.95,1.48,1.1,1.9,1.097,407
2020-08-10T00:00:00.000Z,0.4,1.67,0.9,0.77,1.1,0.238,408
2020-08-11T00:00:00.000Z,0.4,2.04,0.9,0.75,1.1,0.28,447
2020-08-12T00:00:00.000Z,0.7,2.25,1.33,1.19,1.52,0.261,453
2020-08-13T00:00:00.000Z,1.3,5.09,2.6,2.27,3.1,0.81,464
